type;action;artifact
1,4;check;['type of indicator', 'malicious indicator', 'linked records', 'records', 'Ack violation', 'response violation', 'operations', 'status', 'Ack SLA status', 'Ack SLA status', 'status', 'response SLA', 'response SLA status', 'SLA reset flag', 'task', 'approver', 'approval', 'approvers', 'approval', 'approval email', 'email id', 'requested approval', 'record', 'indicator', 'indicator', 'tenant record', 'MSSP', 'linked indicator', 'linked indicator', 'notes', 'relation exists', 'SLA violation', 'SLA violation', 'malicious', 'type of indicator', 'reference', 'malicious', 'referenced playbook', 'create', 'create', 'assets', 'triggered', 'linked alerts', 'incident', 'incident activity', 'criticality status', 'assets', 'linked campaign', 'safe browsing issue', 'domain', 'status', 'sts exit', 'ip', 'email status', 'email status', 'hash', 'team', 'folder', 'status', 'memdump', 'IP reputation', 'user', 'bucket status', 'IP blocklist', 'IP reputation', 'unresolved issues', 'IP', 'hash', 'domain', 'block status', 'block status', 'context', 'page', 'page', 'spaces', 'page', 'dns answer', 'domains', 'indicators', 'pdf', 'job status', 'IP block', 'Genians', 'file', 'error', 'API', 'results', 'explorer.exe', 'group', 'explorer.exe', 'file', 'list', 'IP', 'D Bot score', 'URL', 'file hash', 'email', 'Pish Me string', 'number', 'context', 'duplicates', 'attachment', 'unicode', 'attachment', 'IP', 'owners', 'task status', 'isolation', 'output', 'file', 'board involvement', 'mail', 'data', 'dns request', 'URL threat', 'seen', 'iocs', 'query status', 'hash reputation', 'publisher reputation', 'IP reputation', 'URL reputation', 'marker status', 'username', 'IP', 'marker status', 'username', 'list', 'keys field', 'risk status', 'external communication', 'commands baseline', 'commands baseline', 'status', 'status', 'status', 'status', 'login', 'unknown file', 'case status', 'severity level', 'offenses', 'pup', 'files', 'detections keyword', 'case severity', 'cipher', 'cipher', 'cipher', 'notables', 'notables', 'scan status', 'read status', 'download', 'failures', 'ip validation', 'ip', 'logins', 'event data', 'minimum age ', 'minimum case age', 'destinations', 'emails', 'similar domain', 'subjects', 'subject', 'sender', 'senders', 'relay', 'relay', 'attachment', 'attachment', 'emails', 'email status', 'email status', 'email status', 'user execution', 'proofpoint', 'email status', 'user execution', 'email status', 'domain', 'spearphishin', 'indicators', 'indicators', 'indicators', 'system owner', 'network configuration indicators', 'indicators', 'UNIX access', 'indicators', 'viewing', 'systemd modification', 'user indicators', 'encrypted data', 'windows remote management', 'technique', 'executables', 'event', 'system recovery', 'replication', 'alert volume', 'hub', 'source activity', 'user activity', 'user activity', 'activity', 'remote management', 'destination activity', 'indicator status', 'indicator status', 'indicators', 'windows crash', 'attack', 'login status', 'login status', 'login status', 'DC sync', 'Kerberroasting', 'system modification', 'installation status', 'login status', 'browser whitelist', 'health', 'user matching', 'request time', 'parameters', 'assets', 'networks', 'ip addresses', 'user group membership', 'user', 'email', 'risk', 'hostname', 'windows', 'exchange vulnerability', 'Log4J vulnerability', 'Zero Logon', 'tag', 'parameters', 'tag type', 'parameters', 'String array', 'exception', 'risk', 'valid indicator', 'URL lookup status', 'lookup status', 'malicious', 'hash length', 'hash', 'blacklist result', 'unblacklist result', 'HTML', 'SHA256 hash', 'hash', 'SHA1 hash', 'status', 'SHA256 hash', 'SHA256 hash', 'block status', 'central failure message', 'MD5 hash', 'MD5 hash', 'results', 'indicator length', 'indicator', 'blacklist status', 'indicator status', 'indicator', 'blacklist', 'blacklist status', 'integration', 'URL', 'command', 'action status', 'user', 'user disabled', 'host creation status', 'host removal status', 'action', 'checkpoint status', 'host', 'status', 'checkpoint status', 'response status', 'status', 'host', 'artifact', 'ASA status', 'block', 'IP', 'IP', 'ASA status', 'ASA status message', 'ASA status message', 'block', 'ASA status message', 'IP', 'action', 'host', 'object', 'host', 'address', 'address', 'host', 'host', 'host', 'host', 'IP', 'IP', 'host', 'host', 'block status', 'host', 'host', 'host', 'object status', 'block status', 'email ', 'status', 'asset', 'IP', 'ip', 'host block status', 'address', 'address', 'address', 'host', 'host', 'host', 'host block status', 'block status', 'status', 'command', 'records', 'mimcast results', 'netskope results', 'confirmation', 'results', 'incidents creation', 'parameters', 'update', 'deletion status', 'asset status', 'deletion', 'decision', 'inactive assets', 'asset deletion', 'asset deletion', 'assets', 'fixlets', 'patch', 'decision', 'status', 'status', 'user', 'status', 'status', 'success', 'user', 'forward status', 'LDAP query status', 'LDAP status', 'password', 'passwords reset', 'CVE', 'lookup status', 'CVE ', 'step', 'hash', 'domains', 'IP', 'IP status message', 'IP', 'hash', 'indicator', 'IP', 'URL', 'domain', 'hash', 'IP', 'URL', 'indicator', 'IP address', 'hash', 'domain', 'IP', 'report', 'URL', 'type of indicator', 'hash', 'hash', 'URLs', 'results', 'URLs', 'blacklist', 'URL submission status', 'URL', 'scan status', 'URL submission status', 'report status', 'user URL', 'URL', 'lookup', 'emails', 'success', 'email', 'emails', 'emails', 'parsing status', 'email', 'email deletion', 'logs', 'instances', 'log set', 'success', 'asset', 'asset group', 'finding', 'IP stack report', 'IP', 'user IP address', 'GeoIP status', 'AD group user', 'user', 'user', 'block status', 'malicious', 'Slack decision', 'location', 'user', 'country count', 'isolation status', 'assets', 'IP address', 'vulnerabilities', 'results', 'target handling', 'type of search', 'multiple vulnerabilities', 'vulnerabilities', 'vulnerability search status', 'results', 'vulnerability search status', 'count', 'input quality', 'vulnerabilitiy search status', 'count', 'exceptions', 'state', 'auto approval', 'exceptions', 'approval status', 'malicious URL', 'indicator', 'malicious file', 'file support', 'mail', 'file', 'attachment', 'malicious URL', 'malicious URL', 'malicious scan', 'malicious file', 'malicious URL', 'malicious email', 'malicious email', 'domain age', 'domain age', 'risk', 'approval status', 'batch status', 'AD', 'office hours', 'ticket', 'ticket', 'AD', 'name', 'status', 'DNS', 'names', 'blank subject', 'search', 'response decision', 'header', 'sender', 'match', 'email type', 'decision', 'emergency response', 'subject', 'domain', 'proofpoint encoding', 'search status', 'images', 'phishing database', 'headers', 'ip whois', 'decision', 'pdf file', 'file type', 'proofpoint enconding', 'image file', 'automated reply', 'ip whois', 'automated reply', 'URL blocklist', 'email', 'manual purge', 'quarantine', 'agents', 'quarantine', 'quarantine', 'quarantine', 'quarantine', 'qurantine status', 'quarantine state', 'whitelisted endpoint', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'host', 'host', 'endpoint', 'endpoint', 'quarantine state', 'host', 'host', 'isolation state', 'quarantine state', 'quarantine state', 'agent status', 'endpoint', 'quarantine result', 'passwords reset status', 'email', 'command', 'revoke status', 'scan status', 'scan status', 'aid', 'remediation', 'user response', 'city', 'DNS', 'office location', 'city', 'user response', 'blacklist', 'blacklist', 'diff', 'blacklist', 'blacklist', 'diff', 'assets', 'tag', 'OU', 'unlock status', 'shortened URL', 'URL', 'Hashes', 'domains', 'alert ids', 'IPs', 'asset', 'asset', 'rules', 'hostname', 'total vulnerabilities', 'asset', 'asset', 'asset', 'asset', 'rules', 'ad user', 'ad group', 'disabled ad account', 'locked ad account', 'ad computer logged in date', 'ad user logged in date', 'condition', 'service status', 'file', 'file version', 'file accessed date', 'vm power state', 'url', 'flow condition', 'instructions', 'flow entity selection', 'multi choice question', 'file reputation', 'aws disable user condition', 'file reputation', 'valid input', 'domain reputation', 'domain reputation', 'ip reputation', 'success', 'reputation', 'reputation', 'ip reputation', 'indicator reputation', 'found indicator result', 'asset', 'domain reputation', 'domain whois', 'reverse domain', 'reverse ip', 'url reputation', 'domain whois', 'ip intelligence', 'domain intelligence', 'file intelligence', 'ip intelligence', 'domain intelligence', 'url intelligence', 'ip reputation', 'indicator reputation', 'ioc', 'country russia', 'country china', 'country north korea', 'max out value', 'path', 'rule', 'result size', 'observation time', 'empty ssl info', 'ssl hash', 'hostname', 'no result variable', 'owners', 'host', 'file', 'address', 'URL', 'owner', 'owner', 'owner', 'owner', 'assets', 'indicators', 'groups', 'fault', 'keywords', 'keyword', 'value', 'results', 'ioc array', 'response status', 'response status', 'response status', 'response status', 'response status', 'existing rule', 'status', 'rules', 'hash', 'hash', 'description', 'source', 'additional analysis', 'description', 'email', 'CIDR', 'sha256', 'sha1', 'condition', 'Intel TCS', 'tech blogs', 'jira ticket', 'attribute', 'comments', 'attachment', 'group', 'records', 'incidents', 'malicious', 'data', 'detection status', 'detection status', 'indicators', 'samples', 'sample', 'hots', 'URL', 'malicious', 'workflow status', 'IP', 'URL', 'host', 'job status', 'job status', 'status', 'cursor', 'account', 'AD query', 'active directory', 'user attributes', 'manager', 'compromised account', 'polling task', 'autofocus', 'sample', 'session', 'tags', 'search session', 'sample search', 'submit tags', 'username', 'PAN-OS', 'tag', 'firewall status', 'Zscaler status', 'block rule', 'static address group', 'dynamic list', 'dynamic address group', 'Fortinet status', 'Silverline status', 'IPs', 'malicious Ips', 'user verification', 'suspicious IP', 'Cisco ASA', 'Ciso Secure Cloud Analytics status', 'Cisco Firepower', 'Akamai WAF', 'threatx status', 'Signal Sciences WAF status', 'Sophos Firewall status', 'ARIA Packet Intelligence status', 'internal IP addresses', 'internal IP', 'input enrichment', 'URLs', 'EDL', 'URL category', 'qualys severity', 'security level', 'Nexpose severity', 'security level', 'user input', 'user involvement', 'critical endpoint', 'endpoint group', 'user group', 'endpoint group', 'critical groups', 'user group', 'endpoint', 'incident severity', 'severity check', 'severity level', 'DBotScore', 'severity', 'authenticity verdict', 'check score', 'DBotScore', 'severity', 'indicaors', 'base64 string', 'base64 string', 'parameters', 'command parameters', 'network activtiy parameter', 'malicious tools', 'AMSI evasion technique', 'indicators', 'endpoint', 'quarantine', 'Okta', 'indicator block', 'user session', 'user', 'user answer', 'isolation', 'hash', 'hash', 'hash', 'zip file', 'download', 'CVE', 'IBM X-Force integration', 'CVE search integration', 'VulnDB integration', 'hash', 'email address', 'URLs', 'IP addresses', 'hashes', 'hashes', 'duplicates', 'duplicates', 'duplicates', 'Demisto REST API', 'incidents', 'incidents', 'incident', 'incident', 'incident', 'involvement', 'incidents', 'incidents', 'indicator enrichment', 'incident review', 'Virus Total integration', 'file type', 'file detonation', 'Virus Total integration', 'file detonation', 'WildFire sandbox integration', 'upload', 'URL detonation', 'WildFire integration', 'URL submission status', 'URL submission status', 'file submission status', 'file submission status', 'domain enrichment', 'VirusTotal API', 'Cisco Umbrella Invesitgate integration', 'email address', 'email address', 'email address', 'domain quatting', 'domain list', 'emails', 'microsoft headers', 'mcafees ePolicy Orchestrator integration', 'endpoint enrichment', ' carbon black enterprise integration', 'CrowdStrike Falcon Host integration', 'device id', 'Extrahop Reveal integration', 'McAffee ePolicy Orchestrator integration', 'discovery techniques', 'persitence techniques', 'initial access techniques', 'privilege escalation technique', 'defense evasion technique', 'execution technique', 'lateral movement technique', 'collection technique', 'attacker fields', 'host fields', 'MITRE techniques', 'file hash', 'CnC techniques', 'impact techniques', 'suspicous reconnaissance', 'analyst approval', 'file', 'infected endpoints', 'analyst approval', 'auto isolation', 'investigation status', 'notification', 'notification', 'hunting', 'threat hunting', 'forensics', 'auto unisolation', 'incidents', 'events', 'auto detonation', 'auto detonation', 'previous alerts', 'false positive alerts', 'file', 'file', 'ip address', 'IP address', 'URL', 'URL', 'domain', 'domain', 'AWS IAM integration', 'user', 'AWS user', 'file deletion', 'process termination', 'password reset', 'file', 'pdf file', 'word file', 'images', 'OCR integration', 'document type', 'Rasterize integration', 'md5 hash', 'sha-256 hash', 'sha-1 hash', 'sha256 hash', 'cylance protect integration', 'file detection', 'file hash', 'NSRL search result', 'file signature', 'VT results', 'endpoint id', 'hostname', 'endpoint IP', 'endpoint details', 'agent id', 'endpoint details', 'hostname', 'endpoint details', 'endpoint IP', 'D2 agent', 'Illusive integration', 'Microsoft defender integration', 'EWS integration', 'input', 'email', 'email', 'emailbrand integration', 'gmail integration', 'email', 'email', 'file', 'alert source', 'alert closure', 'alert origin', 'hostname', 'IP address', 'IP address', 'Ipaddress', 'ThreatCrowd integration', 'IP addresses', 'ip address', 'network capture', 'YARA signatures', 'domains', 'process tree', 'information leakage', 'malware', 'malware', 'remediation status', 'techniques', 'MITRE ATT&CK integration', 'URL screenshot', 'indicator scores', 'incident severity', 'malicious email', 'email image', 'malicious email', 'email deletion', 'block indicators', 'phishing type', 'URL detonation', 'phishing email reporter', 'incident creation', 'user involvement', 'email', 'domain quatting', 'phishing campaign', 'sender name', 'hostname', 'phishin email', 'malicious file download', 'malicious file download', 'malicious URL sandbox', 'phishing email', 'email file', 'email headers', 'files', 'emails', 'email', 'attachment', 'email', 'X header', 'X header', 'X header', 'X header', 'SCL score', 'severity', 'BCL/PCL value', 'severity', 'endpoint unisolation', 'quarantined file', 'emails', 'emails', 'email', 'MD5 hash', 'CVE', 'Rapid7 Nexpose integration', 'Kennav integration', 'results', 'RiskSense integration', 'incidents', 'domainglobs', 'CIDR', 'internal assets', 'IP results', 'hash results', 'domain results', 'URL results', 'Qradar integration', 'arcsight integration', 'hash result', 'URL results', 'input', 'query', 'incident', 'domain results', 'url results', 'CIDR results', 'host size', 'CIDR results', 'registrant check', 'domain creation date', 'Whois integration', 'domain value', 'domains', 'domains', 'domains', 'time', 'registrants list', 'domains', 'results', 'md5 results', 'sha1 results', 'sha256 results', 'indicators', 'indicators', 'indicators', 'indicators', 'incident review', 'file hash', 'hash list', 'hash list', 'business partner', 'business partner', 'business partner', 'business partner', 'business partner', 'business partner', 'IP list', 'CIDR list', 'CIDR list', 'indicators', 'review tag', 'email address', 'indicators', 'whitelist review tag', 'indicators', 'IP indicators', 'file hash indicators', 'URL indicators', 'domain indicators', 'results', 'indicators', 'indicators', 'results', 'results', 'indicators', 'results', 'indicator enrichment', 'CIDR IP list', 'indicator list', 'cidr list', 'URLs', 'Rasterize integration', 'url screenshot', 'URL', 'Virus TotalPrivate API integration', 'date', 'datetime', 'file type', 'upload status', 'false positive', 'status', 'ioc blocking', 'ioc', 'ioc status', 'ioc status', 'failed integrity check', 'ioc', 'system', 'infrastructure', 'monitoring threshold', 'policy coa review threshold', 'manual review threshold', 'account type action', 'alert', 'data collection threshold', 'coa review threshold', 'manual review threshold', 'coa review threshold', 'data collection threshold', 'asset identification status', 'alert actionability', 'ioc status', 'ioc source', 'ioc sharing threshold', 'block allow conflict', 'block allow status', 'allow block list', 'server reachability', 'server availability', 'service availability', 'hot spare availability', 'monitoring policy threshold', 'submitters flag', 'cve addressed status', 'new data', 'coa approval', 'empty list', 'modification option', 'infrastructure compromise ioc', 'ics asset recovery', 'ics asset mitigation', 'restoration workflow', 'asset functionality', 'service availability', 'automated rebuild policy', 'service availability', 'automated reinstall policy', 'rebuild policy', 'rebuild option', 'restoration completion', 'system restoration', 'system hot spare', 'restart policy threshold', 'reinstall policy threshold', 'blocking requirement', 'remediation requirement', 'information sharing policy', 'domain reputation', 'visited domain', 'block status', 'domain ioc', 'first seen status', 'domain tag', 'proxy log', 'domain blacklist', 'push status', 'visited domains', 'domain white list', 'workflow errors', 'blacklist', 'error', 'siem', 'whitelist', 'network assignment worksheet', 'agency point of contact spreadsheet', 'url', 'SOAR errors', 'sender email ioc', 'email status', 'ioc score', 'matching email', 'user action', 'ms isac ioc feed', 'ioc score', 'condition', 'sender ioc status', 'sender malicious status', 'sender block status', 'sender email', 'sender blacklist', 'sender', 'sender', 'sender', 'file', 'asset hit counter', 'hit counter', 'file hash blacklist', 'file hash', 'file hash whitelist', 'file hash', 'file hash', 'file hash', 'ip malicious status', 'ip visit status', 'ip block status', 'IP database', 'ip blocklist', 'block status', 'destination ip event', 'source ip event', 'ip', 'ip status case tag', 'log', 'ip blacklist', 'ip connection', 'ip whitelist', 'ip blacklist', 'IP connection', 'ip whitelist', 'ip', 'type of indicator', 'status', 'Ack violation', 'response violation', 'status', 'Ack SLA status', 'Ack SLA status', 'response SLA status', 'response SLA', 'status', 'SLA reset flag', 'malicious', 'malicious', 'malicious', 'malicious', 'tenant record', 'malicious', 'tenant record', 'referenced playbook', 'tenant record', 'malicious', 'referenced playbook', 'malicious', 'reference', 'tenant record', 'referenced playbook', 'reference', 'malicious', 'tenant record', 'referenced playbook', 'reference', 'reference', 'assets', 'tenant record', 'referenced playbook', 'tenant record', 'referenced playbook', 'malicious', 'reference', 'reference', 'tenant record', 'referenced playbook', 'reference', 'reference', 'tenant record', 'referenced playbook', 'tenant record', 'referenced playbook', 'create', 'malicious', 'tenant record', 'referenced playbook', 'tenant record', 'referenced playbook', 'malicious', 'triggered', 'triggered', 'triggered', 'user', 'IP reputation', 'status', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'indicators', 'pdf', 'results', 'list', 'output', 'output', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'hash reputation', 'data', 'data', 'data', 'data', 'data', 'data', 'username', 'commands baseline', 'hub', 'networks', 'ip addresses', 'risk', 'Zero Logon', 'parameters', 'assets', 'exception', 'risk', 'hash', 'blacklist result', 'unblacklist result', 'SHA256 hash', 'hash', 'blacklist result', 'blacklist result', 'unblacklist result', 'unblacklist result', 'SHA1 hash', 'hash', 'blacklist result', 'status', 'SHA256 hash', 'hash length', 'hash', 'blacklist result', 'MD5 hash', 'unblacklist result', 'blacklist result', 'unblacklist result', 'indicator length', 'indicator', 'blacklist result', 'valid indicator', 'blacklist status', 'indicator status', 'valid indicator', 'blacklist', 'user', 'user disabled', 'host creation status', 'host removal status', 'action', 'checkpoint status', 'host', 'status', 'checkpoint status', 'response status', 'status', 'host creation status', 'host removal status', 'action', 'checkpoint status', 'host', 'status', 'checkpoint status', 'status', 'artifact', 'IP', 'action', 'address', 'host', 'address', 'host', 'host', 'host', 'host', 'object', 'command', 'command', 'IP', 'IP', 'host', 'host', 'host', 'action', 'host', 'host', 'host', 'action', 'host', 'object status', 'indicator', 'block status', 'email ', 'block status', 'IP', 'ip', 'host', 'host block status', 'host', 'ASA status message', 'address', 'address', 'address', 'host', 'host', 'host', 'host', 'host', 'host block status', 'block status', 'update', 'update', 'update', 'deletion status', 'inactive assets', 'fixlets', 'patch', 'action', 'action', 'status', 'status', 'status', 'success', 'status', 'status', 'CVE', 'lookup status', 'CVE ', 'hash', 'IP', 'IP', 'indicator', 'indicator', 'indicator', 'IP', 'IP', 'hash', 'indicator', 'IP', 'URL', 'domain', 'IP', 'IP', 'hash', 'indicator', 'IP', 'URL', 'domain', 'IP', 'URL', 'domains', 'type of indicator', 'URL', 'lookup', 'success', 'emails', 'success', 'parsing status', 'command', 'user', 'success', 'user', 'isolation status', 'assets', 'IP', 'host', 'IP address', 'host', 'host', 'vulnerabilities', 'results', 'asset', 'asset', 'asset', 'vulnerabilities', 'results', 'vulnerabilities', 'vulnerabilities', 'results', 'vulnerability search status', 'vulnerabilities', 'input quality', 'vulnerabilitiy search status', 'host', 'host', 'command', 'action status', 'host', 'command', 'action status', 'malicious URL', 'malicious file', 'mail', 'user', 'state', 'auto approval', 'exceptions', 'deletion status', 'emails', 'email', 'deletion status', 'emails', 'asset', 'quarantine', 'quarantine', 'qurantine status', 'quarantine state', 'whitelisted endpoint', 'quarantine state', 'quarantine state', 'action', 'quarantine state', 'quarantine state', 'action', 'host', 'quarantine state', 'quarantine state', 'action', 'host', 'host', 'quarantine state', 'quarantine state', 'host', 'endpoint', 'action', 'host', 'host', 'quarantine state', 'isolation state', 'quarantine state', 'agent status', 'unblacklist result', 'endpoint', 'quarantine result', 'unblacklist result', 'endpoint', 'quarantine result', 'unblacklist result', 'endpoint', 'quarantine result', 'unblacklist result', 'host', 'action', 'host', 'host', 'host', 'action', 'host', 'email', 'passwords reset status', 'command', 'revoke status', 'asset', 'asset', 'scan status', 'scan status', 'remediation', 'user', 'AD', 'DNS', 'user', 'unlock status', 'user', 'URL', 'shortened URL', 'disabled ad account', 'ad user', 'locked ad account', 'condition', 'file version', 'file', 'file', 'service status', 'condition', 'service status', 'url', 'service status', 'service status', 'url', 'service status', 'url', 'flow condition', 'flow condition', 'flow condition', 'flow condition', 'flow condition', 'instructions', 'flow condition', 'ip reputation', 'ip reputation', 'file reputation', 'ip reputation', 'success', 'file reputation', 'file reputation', 'ip reputation', 'reverse ip', 'domain whois', 'domain reputation', 'file reputation', 'url reputation', 'url reputation', 'domain whois', 'domain reputation', 'domain reputation', 'file reputation', 'file reputation', 'domain reputation', 'url reputation', 'file reputation', 'file reputation', 'ip intelligence', 'domain intelligence', 'ip intelligence', 'file reputation', 'url reputation', 'file reputation', 'url reputation', 'file reputation', 'url reputation', 'domain reputation', 'url reputation', 'url reputation', 'ip reputation', 'domain reputation', 'file reputation', 'url reputation', 'file reputation', 'results', 'value', 'response status', 'ioc array', 'response status', 'existing rule', 'status', 'rules', 'assets', 'hash', 'hash', 'hash', 'hash', 'address', 'host', 'URL', 'file', 'host', 'host', 'detection status', 'detection status', 'active directory', 'IP block', 'firewall status', 'IP block', 'Zscaler status', 'block rule', 'static address group', 'dynamic list', 'dynamic address group', 'Fortinet status', 'Zscaler status', 'user answer', 'user answer', 'user answer', 'user answer', 'AD query', 'file detonation', 'Virus Total integration', 'URL detonation', 'upload', 'URL detonation', 'WildFire integration', 'AD query', 'AD query', 'analyst approval', 'file', 'infected endpoints', 'analyst approval', 'auto isolation', 'investigation status', 'user answer', 'user answer', 'user answer', 'AD query', 'file', 'file signature', 'polling task', 'D2 agent', 'email', 'VirusTotal API', 'Ipaddress', 'investigation status', 'URL screenshot', 'indicator scores', 'incident severity', 'malicious email', 'email image', 'malicious email', 'emails', 'microsoft headers', 'user involvement', 'malicious email', 'malicious email', 'email deletion', 'block indicators', 'emails', 'phishing type', 'microsoft headers', 'email file', 'email headers', 'files', 'email image', 'email', 'email headers', 'files', 'emails', 'email image', 'email', 'email', 'email headers', 'files', 'emails', 'severity', 'Qradar integration', 'arcsight integration', 'domain results', 'Qradar integration', 'arcsight integration', 'IP results', 'Qradar integration', 'arcsight integration', 'IP results', 'hash result', 'CIDR results', 'query', 'query', 'domains', 'query', 'query', 'domain results', 'IP results', 'URL results', 'IP results', 'query', 'query', 'email address', 'results', 'indicators', 'indicators', 'results', 'results', 'indicators', 'results', 'indicator enrichment', 'results', 'indicators', 'indicators', 'results', 'results', 'indicators', 'results', 'indicator enrichment', 'results', 'indicators', 'indicators', 'results', 'results', 'indicators', 'results', 'indicator enrichment', 'IP results', 'indicator list', 'file detonation', 'WildFire sandbox integration', 'data', 'data', 'data', 'data', 'data', 'coa review threshold', 'data collection threshold', 'coa review threshold', 'data collection threshold', 'coa review threshold', 'data collection threshold', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'infrastructure compromise ioc', 'ioc status', 'data', 'data', 'data', 'data', 'data', 'data', 'service availability', 'service availability', 'rebuild policy', 'data', 'data', 'data', 'block status', 'visited domain', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'workflow errors', 'workflow errors', 'error', 'error', 'block status', 'workflow errors', 'workflow errors', 'error', 'data', 'data', 'error', 'SOAR errors', 'data', 'data', 'data', 'data', 'IP reputation', 'push status', 'workflow errors', 'error', 'network assignment worksheet', 'agency point of contact spreadsheet', 'SOAR errors', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'first seen status', 'data', 'data', 'data', 'data']
1,4;check ;['domain', 'user name', 'removable media policy', 'production network system', 'user name', 'system ban status', 'file', 'unknown ioc', 'ioc blocklist', 'ioc blocklist', 'heartbeats failure alert', 'ics alert status', 'response policy threshold', 'ics asset integrity', 'false positive status', 'stix sharing threshold', 'complete profile threshold', 'submitter behavior profile', 'rule status', 'behavior analytics status', 'sharing threshold', 'cve applicable status', 'risk level', 'profile rebaseline', 'ids rule approval', 'sharing method', 'patch availability', 'ticket availability', 'image availability', 'patching option', 'vulnerable system', 'feed failure threshold', 'feed failure', 'account reset policy', 'account reset', 'ioc fail auto block criteria', 'ioc sighting count sharing threshold', 'event sharing threshold', 'icss asset integrity', 'ics hot spare availability', 'restoration image availability', 'reimage status', 'rule status', 'behavior analytics status', 'risk level', 'ticket availability', 'false positive status']
2;child;['comment']
1;choose;['command path', 'indicators', 'user', 'file', 'user', 'files', 'processes', 'users', 'response action', 'command path', 'command path', 'command path', 'command path', 'command path', 'command path', 'command path', 'command path', 'command path']
4;classify;['email addresses', 'email ']
5,2;clean;['asset', 'data', 'fix', 'teams message', 'links', 'data', 'fix', 'fix', 'fix', 'teams message', 'teams message']
5;cleanup;['exported file']
2;clear;['context', 'context', 'user session', 'user sessions', 'user sessions', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context']
5;clone;['volume', 'vm']
3;close;['SIEM alert', 'ticket', 'ticket', 'vulnerability issue', 'incident', 'investigation', 'case', 'review', 'manual review', 'incidents', 'incidents', 'case', 'ticket', 'preparation', 'offense', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'ssh alert', 'case', 'protect task', 'investigate task', 'preprocess task', 'verdict not rendering task', 'undo containment task', 'task', 'notable', 'event', 'investigation', 'incidents', 'Demisto investigation', 'incident', 'investigation', 'readon', 'alert', 'investigation', 'investigation', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'case', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'manual review', 'manual review', 'manual review', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'investigation', 'incidents', 'investigation', 'investigation', 'incident', 'incident', 'investigation', 'investigation', 'investigation', 'incident', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'case', 'case', 'case', 'case', 'case']
5;cofense;['threat indicators']
4;collect;['description', 'triage data', 'tag names', 'event id group', 'sources', 'indicator', 'indicator', 'data', 'asset', 'indicator', 'user', 'host', 'user', 'hostname', 'indicators', 'cef type', 'system data', 'autorun data', 'data', 'browser history', 'usb device history', 'local enrichment', 'internal data', 'server network log', 'iocs', 'cef type', 'cef type', 'internal data', 'internal data']
2;combine;['data set', 'teams', 'lists', 'iocs', 'scores', 'Ips', 'indicator array', 'indicator array', 'IP addresses', 'indicators', 'hosts', 'domain', 'IP', 'hashes', 'arrays', 'endpoint types', 'related field', 'ioc list', 'indicator array', 'indicator array', 'indicator array', 'IP addresses', 'indicators', 'hosts', 'indicator array', 'domain', 'hosts', 'hosts', 'IP', 'IP addresses', 'IP addresses', 'hashes', 'indicators', 'indicators']
